0.917296,0.993242,0.423369,0.567728,0.806461,0.187621,0.343382,0.215884,0.365443,0.001030,0.310864,0.698233,0.210372,0.715397,0.672811,0.941708
0.292999,0.428111,0.265399,0.567587,0.439125,0.374388,0.334313,0.806680,0.865936,0.788431,0.161263,0.340946,0.274941,0.938847,0.197408,0.838653
0.233176,0.986975,0.083108,0.793707,0.831131,0.811626,0.001442,0.232991,0.873410,0.404851,0.328378,0.049147,0.021567,0.468345,0.473322,0.123098
0.915717,0.453586,0.417660,0.606267,0.524701,0.650591,0.480829,0.287802,0.094118,0.848239,0.357927,0.677349,0.205372,0.692670,0.709975,0.543421
0.274188,0.282340,0.284859,0.624601,0.668534,0.055787,0.607427,0.028060,0.607870,0.477371,0.168456,0.246353,0.454324,0.823801,0.624973,0.924496
0.997512,0.188092,0.259112,0.902492,0.189207,0.000160,0.684593,0.960551,0.982014,0.709602,0.285010,0.161135,0.197209,0.496315,0.573834,0.422473
0.499118,0.684530,0.902058,0.890781,0.356591,0.230618,0.990577,0.624136,0.853106,0.157471,0.621473,0.089021,0.179056,0.395985,0.320615,0.582359
0.704863,0.628529,0.683388,0.696516,0.340954,0.409375,0.363434,0.230027,0.071969,0.576013,0.048918,0.168481,0.652949,0.105494,0.031500,0.416627
0.248014,0.365160,0.249993,0.638883,0.709368,0.354537,0.700089,0.403955,0.272212,0.072300,0.148466,0.269454,0.713937,0.133379,0.706203,0.161757
0.653818,0.715071,0.199080,0.938832,0.953077,0.360444,0.990622,0.388506,0.622723,0.106869,0.145257,0.334030,0.046948,0.055472,0.322053,0.745131
0.421238,0.742429,0.002782,0.758009,0.860701,0.793423,0.062516,0.705773,0.923023,0.248960,0.262888,0.353662,0.996674,0.098295,0.042194,0.152155
0.274005,0.208181,0.899365,0.632069,0.189965,0.748767,0.533833,0.138034,0.941408,0.245640,0.472395,0.547825,0.300458,0.790675,0.872819,0.461558
0.410071,0.065773,0.450060,0.151954,0.892521,0.596823,0.797042,0.880120,0.179067,0.585845,0.295818,0.811870,0.098413,0.028941,0.414289,0.951861
0.920120,0.460884,0.078396,0.606925,0.593739,0.964344,0.733748,0.094285,0.649939,0.518402,0.781799,0.696899,0.773854,0.157415,0.669223,0.623262
0.168294,0.517134,0.465305,0.380240,0.692319,0.800698,0.331097,0.742481,0.876181,0.980553,0.147842,0.772195,0.287909,0.894089,0.961059,0.514768
0.703890,0.276770,0.678016,0.407169,0.281924,0.295974,0.432091,0.160657,0.157180,0.726556,0.226343,0.141948,0.716125,0.912416,0.967821,0.167142
